id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	8.24128237490834	8.10702349424487	8.14189126663906	8.27863291824557	8.86945001301869	8.87059232581299	8.84651175160215	8.94202789302124
ENSG00000015475	5.50033321547189	5.60282624287504	5.55898701274153	5.79904076747737	5.6047486969259	5.74627882390532	5.69077398359571	5.54431791676077
ENSG00000025708	9.39468016282109	9.45917817510084	9.56678065754089	9.42407309613195	9.08078934475421	9.00637537188873	9.06242843589918	9.00441214637609
ENSG00000040608	9.03063639079807	9.02444871388823	8.87912384513826	8.94944597314118	8.58974661322281	8.68796311174557	8.62887359694762	8.41025608560314
ENSG00000054611	9.49344425057899	9.44702819118425	9.33525547223205	9.46732870040948	9.49212291130658	9.44085600288426	9.45786043899137	9.50322933061261
ENSG00000069998	8.01456288773511	8.02168089735046	7.99381470846417	7.96693264778984	8.35216622401051	8.31009614325459	8.43964039357719	8.39508744047345
ENSG00000070010	7.08658828978679	7.05758360777303	7.03361023728568	6.98409279941506	7.24999509427126	7.27677434354283	7.13886883845998	7.27690295783737
ENSG00000070371	11.108159311934	10.9140259639192	10.9716185597926	11.0542940657182	11.0510864375363	11.1119062941139	10.9225179706927	10.8889172531794
ENSG00000070413	7.50580082765559	7.58752166747075	8.01362882319687	7.67319404186986	7.65308414396996	7.4551535391465	7.69338446738782	7.79632664734965
ENSG00000073146	9.72370718388833	9.69640419201349	9.70215811112694	9.66654890575794	9.52399340873586	9.69672017152647	9.57983913401384	9.61777683750443
ENSG00000073150	10.0225800735923	9.94431848780352	9.9029438504789	9.92598129400716	9.62003410823443	9.69960716735545	9.66903386038444	9.59987481917456
ENSG00000075218	9.15529495554231	9.25610738516189	9.19126117002145	9.11259389608357	8.97020179874292	8.92175883818685	8.83755987924599	8.91763433398275
ENSG00000075240	8.07396568040284	8.29503252592704	7.93899955413845	8.33609594615309	8.15216695308036	8.41800028612581	8.38455601641852	8.2209135780911
ENSG00000077935	9.39210302345321	9.45470504721641	9.41415845415335	9.36505249471649	9.56922877813026	9.47925199974331	9.53801913850358	9.42879207776183
ENSG00000077942	10.0819665811617	10.1318496800393	10.1519911033071	10.0458243171616	10.1519118029609	10.0774287274157	10.1679418048868	10.1013874050385
ENSG00000079974	8.54039569300154	8.63475749752925	8.58801296153411	8.49924161984993	8.44728637958662	8.45922667110421	8.54176661187946	8.60146122065304
ENSG00000093000	8.20017769790398	8.28642950854994	8.22676145027598	8.41110259055403	8.06976868807741	8.27714627333826	8.15835815369241	8.03731614032904
ENSG00000093009	8.94048712715306	8.93325681609272	9.0219849661958	8.94254361048967	8.98155732329034	8.99934314394809	8.88589590084001	8.9577745015667
ENSG00000093010	7.98474437497504	7.99044911956934	8.00640362114567	7.89826387346693	8.26369168753345	8.18960196138752	8.18349269597985	8.30487080937167
ENSG00000093072	8.50642037366514	8.78406785801679	8.75755413743542	8.58521061757425	8.73368624893817	8.71635023254251	8.87045834769822	8.61458525306997
ENSG00000099899	5.89263866373064	6.12104680781078	5.86699839469767	6.04813679649945	6.23446037694758	6.04880353454684	6.01865054901003	6.11702438731009
ENSG00000099901	7.66849488802332	7.60904514647715	7.64019923486917	7.57602760420277	7.48519123571621	7.42941939252227	7.58349155034216	7.4911825813423
ENSG00000099917	9.06602720017273	8.75218624895437	8.88726408174823	9.03589287265478	8.90102344508322	8.92924173019683	9.20368518014758	9.07301628474875
ENSG00000099940	6.16856851778768	6.30793671986507	6.11810921528709	6.13472411537488	6.48753600066999	6.52044847227979	6.277649445706	6.61544885343037
ENSG00000099942	7.69192834694849	7.74210855730839	7.76028761643906	7.64476843085514	7.60005373530621	7.58024764235562	7.60555098658906	7.38672864879099
ENSG00000099949	6.98586012942007	7.03807598697724	6.94482400199051	6.88050211675298	6.66265241224605	6.75504961000967	6.82397451193408	6.80189112582209
ENSG00000099954	9.89746857123139	9.85498074755533	9.87485720815421	9.87869860102499	9.59537718111499	9.70493504793606	9.83083959974075	9.66563248157951
ENSG00000099956	9.32448330433578	9.29031933874128	9.28137031735336	9.29528016915404	9.12388463604716	9.02395980063821	9.01851874448558	9.06741528409454
ENSG00000099957	9.04663782384842	9.30335089380134	9.06198853988169	9.18498193911539	9.29135893458879	9.22735234040416	9.1297894205021	9.16735758339534
ENSG00000099958	7.16308152804708	7.1087539139752	7.22824445185568	7.38727692812842	7.15197879196368	7.00097672115816	7.14821868841901	7.12837578379132
ENSG00000099960	8.62753601589711	8.66737956390431	8.70703004048321	8.59718042921188	8.66943537035279	8.57069145804316	8.63793480829393	8.56805723791117
ENSG00000099968	7.52706539808873	7.65233255755928	7.52731094950805	7.58413256238712	7.62130382101699	7.54276400631525	7.36504698342451	7.5222195117716
ENSG00000099984	8.43230139533934	8.430059465892	8.47042634773667	8.54382361663441	8.12567300744602	8.09693914171504	8.11077670203097	8.09018283223966
ENSG00000099985	7.04695868250879	6.88626205547179	6.91728270288576	6.96733351020502	7.06909689588851	6.99419486074691	7.12245125170874	7.16681296763293
ENSG00000099991	7.82217732813865	7.74095614989463	7.8354254854788	7.6543750391708	7.64275769457619	7.76282040804064	7.7311000478282	7.74668575794114
ENSG00000099992	6.6305886019191	6.53502141479286	6.84763200735792	6.56461333679621	6.5911548390509	6.67025161749559	6.71403747594757	6.69506095390196
ENSG00000099995	7.75244240386597	7.99537890256309	7.95378909265418	7.70471604909351	8.57811727397414	8.68976999210924	8.73164917065726	8.60745428970779
ENSG00000099999	8.11554579215955	8.14585106576037	8.1448470037701	8.19636444789209	8.39345871046243	8.21423310504918	8.45253413388282	8.28573064074313
ENSG00000100003	8.19837515223378	8.3186324005436	8.29814196772857	8.36473099880699	8.0276070023577	7.89831392096764	8.26844931160554	8.22095129740878
ENSG00000100012	7.18528261380615	7.05538178923746	7.15417453910278	6.85536386389138	7.52940151449918	7.42702517305448	7.54139717844503	7.50396186697558
ENSG00000100014	11.0957521793008	11.0954813273223	11.1558998889736	11.0420137956346	11.0646108070985	11.0677847523333	11.304490672121	11.2354724484968
ENSG00000100023	4.41210768690906	4.48738521022489	4.45651460866989	4.41510704916583	4.55336852056184	4.4358819039172	4.42497893127412	4.35996272294511
ENSG00000100024	7.40349307237662	7.45201320920519	7.48380134966369	7.41263399619389	7.26759328590235	7.32645370338115	7.24111616820784	7.26110278804035
ENSG00000100029	9.72145599908178	9.77061962088442	9.59380055164031	9.66551035210178	9.59429378967397	9.65226016955542	9.65095371606128	9.70572061386889
ENSG00000100030	8.03951472899948	8.10598793342519	8.21853602911598	8.16328115912515	7.86486801112367	7.81589360848632	7.85656821304199	7.76500234362354
ENSG00000100031	7.47392497691278	7.13862946149773	7.61544953130489	7.52635775610495	7.40621060307653	7.42139151783809	7.6841581058496	7.38132186956804
ENSG00000100033	8.43799871742851	8.45690652898981	8.16449882786786	8.55507186345697	8.27583712122876	8.38742479766964	8.33921861149484	8.24906562665289
ENSG00000100034	7.66655198253542	7.63129959512618	7.54835252959575	7.4624836671841	7.78599578403075	7.81069162975726	7.71188656990666	7.80682040852671
