id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000100413	150	163	147	166	174	184	150	226
ENSG00000100416	311	253	252	236	261	269	232	232
ENSG00000100425	1270	1296	1283	1503	1277	1307	1303	1297
ENSG00000100427	250	223	198	208	267	229	240	221
ENSG00000100429	105	64	60	96	104	142	131	92
ENSG00000128159	612	700	760	633	915	896	969	908
ENSG00000128165	101	91	129	116	61	118	99	96
ENSG00000128191	326	279	231	283	542	417	390	507
ENSG00000128218	62	112	78	70	56	69	71	58
ENSG00000128242	429	429	474	517	335	298	338	335
ENSG00000128253	168	101	107	156	347	277	270	258
ENSG00000128272	236	221	217	182	221	207	257	186
ENSG00000128284	495	396	371	365	329	272	288	291
ENSG00000128294	205	203	202	217	195	196	160	141
ENSG00000128298	387	384	424	378	278	302	348	331
ENSG00000128309	274	259	306	247	237	300	284	345
ENSG00000128310	275	315	282	304	176	295	230	241
ENSG00000128311	74	99	112	96	167	172	147	172
ENSG00000128322	140	134	149	113	127	111	107	127
ENSG00000128335	412	435	377	380	355	286	395	371
ENSG00000128340	105	92	177	118	112	112	101	111
ENSG00000128346	95	82	140	112	70	90	145	82
ENSG00000128383	211	186	268	230	232	214	265	211
ENSG00000128394	47	62	72	66	65	52	54	56
ENSG00000128408	190	206	183	195	263	266	189	279
ENSG00000130487	1186	1062	1037	1160	1006	1044	1257	1017
ENSG00000131100	75	112	97	97	106	114	92	109
ENSG00000133424	600	542	467	533	532	464	423	499
ENSG00000133433	13	7	2	13	4	2	2	7
ENSG00000133454	3681	3631	3587	3724	3612	3568	3438	3445
ENSG00000133460	178	241	213	213	393	263	292	337
ENSG00000133488	255	343	289	302	296	309	292	260
ENSG00000138892	510	557	482	481	425	454	472	482
ENSG00000138964	301	323	357	337	315	307	387	281
ENSG00000159307	193	208	208	206	217	218	190	227
ENSG00000159496	157	108	127	143	125	110	82	123
ENSG00000159873	445	394	411	413	308	384	334	372
ENSG00000159958	51	51	33	56	132	119	92	111
ENSG00000161133	278	352	340	303	405	367	306	363
ENSG00000161179	80	124	97	80	228	167	219	194
ENSG00000161180	82	78	109	92	75	74	129	81
ENSG00000166862	204	191	179	190	231	231	200	246
ENSG00000167065	286	294	350	347	298	334	317	311
ENSG00000167077	80	65	121	95	143	133	157	127
ENSG00000169184	569	497	572	555	785	813	778	795
ENSG00000169635	164	232	199	283	334	352	487	411
ENSG00000170638	75	91	96	61	226	197	186	232
ENSG00000172250	5	0	12	4	6	12	0	0
ENSG00000175329	207	251	173	167	160	135	171	189
ENSG00000176635	77	80	71	77	41	63	52	44
ENSG00000177989	167	186	153	175	139	149	166	120
ENSG00000178026	196	216	238	212	228	263	237	268
